ip,label
192.0.2.1,Malicious
192.0.2.66,Malicious
198.51.100.23,Malicious
198.51.100.77,Malicious
203.0.113.5,Malicious
203.0.113.99,Malicious
10.0.0.66,Malicious
192.168.1.200,Malicious
172.16.0.13,Malicious
169.254.13.37,Malicious
192.168.1.1,Normal
192.168.1.2,Normal
192.168.1.10,Normal
192.168.1.20,Normal
192.168.1.50,Normal
192.168.1.51,Normal
192.168.1.52,Normal
10.0.0.1,Normal
10.0.0.2,Normal
10.0.0.5,Normal
10.0.0.7,Normal
10.0.0.8,Normal
172.16.0.1,Normal
172.16.0.2,Normal
172.16.0.20,Normal
8.8.8.8,Normal
8.8.4.4,Normal
1.1.1.1,Normal
9.9.9.9,Normal
208.67.222.222,Normal
