pps,unique_ports,label
10,2,Normal
12,3,Normal
11,2,Normal
13,3,Normal
9,2,Normal
12,2,Normal
14,3,Normal
11,2,Normal
13,3,Normal
10,2,Normal
12,3,Normal
11,2,Normal
13,2,Normal
12,3,Normal
14,2,Normal
11,3,Normal
13,2,Normal
12,2,Normal
10,3,Normal
11,2,Normal
13,3,Normal
12,2,Normal
14,3,Normal
11,2,Normal
12,3,Normal
13,2,Normal
10,2,Normal
12,3,Normal
11,2,Normal
13,3,Normal
1450,1,Anomaly
1600,1,Anomaly
1520,2,Anomaly
1710,1,Anomaly
210,195,Anomaly
240,220,Anomaly
205,200,Anomaly
230,210,Anomaly
12,2,Normal
11,3,Normal
13,2,Normal
12,2,Normal
10,3,Normal
11,2,Normal
