unique_ports,packet_count,label
1,5,Normal
2,8,Normal
3,12,Normal
5,20,Normal
8,40,Normal
10,60,Normal
12,75,Normal
15,90,Normal
20,120,Normal
25,150,Normal
30,40,Scan
35,50,Scan
40,55,Scan
50,60,Scan
60,80,Scan
75,90,Scan
100,150,Scan
150,200,Scan
200,250,Scan
500,1000,Scan
1000,2000,Scan
2,6,Normal
4,15,Normal
6,25,Normal
9,45,Normal
11,65,Normal
13,80,Normal
17,100,Normal
22,130,Normal
27,160,Normal
33,42,Scan
38,52,Scan
45,58,Scan
55,70,Scan
65,85,Scan
80,95,Scan
120,170,Scan
180,220,Scan
250,300,Scan
600,1100,Scan
